label,EOA,PS1,3Rtau,4Rtau,TDP43A,TDP43C,DLB,LOA
29,-2.618754335325017,-1.8997894521919079,-2.317924542283193,-2.116717705936268,-1.772818424822213,-2.017374758671617,-0.8355759694007349,-2.2220233388681665
30,-6.537691000765499,-4.753661213964303,-3.6942740123604154,-2.7560560838998693,-4.242861520790541,-2.57682192995024,-2.8817129962867307,-2.9381374327369585
31,-5.608762431509905,-4.7837625799065595,-3.8016934167982797,-3.3089273551414675,-3.810509785301469,-3.4123361571575854,-2.4559099004170664,-2.591325804062324
32,-6.17286855534271,-4.835624761120589,-5.668874877539498,-4.607799389641042,-4.138956448615149,-5.104275859133513,-2.371355640977897,-5.756162134240623
33,-6.420189134560224,-5.235759009242604,-5.569761583200571,-3.528278890559732,-4.155150257864722,-4.369244517854914,-2.461919245564566,-5.802654526126453
34,-6.496327018259831,-5.5145141644016755,-4.235171851719606,-2.1542585915446564,-2.985005039264852,-2.542584355041947,-1.7271170023903426,-5.036483272945262
35,-3.6180204995998793,-1.7946887350973073,-1.2232820464285974,-0.6589374088428237,-2.25251892835081,-1.0332339759031997,-1.283003973380904,-1.2008694562119124
36,-7.899624385780712,-4.435785986538929,-2.4236798302546068,-1.5951762570716987,-4.518901924881846,-1.8020939656696044,-2.5380098984127732,-2.6968043137780375
37,-7.9988745206501335,-7.021688913220522,-4.682536065305902,-3.634493633175982,-5.127473897271299,-3.379517175124307,-2.8363830050976278,-3.258650982618835
38,-3.0208629856031166,-1.9844731973585477,-1.3055535725989973,-0.6888479240775027,-1.8622984097707818,-0.8997617133739205,-1.1712618811414004,-1.2412467695344982
39,-8.585402527779948,-5.359261943810976,-3.0741550393118593,-1.9044951515280637,-4.7642162909332635,-2.099693079235625,-2.335279993381736,-3.076233404513914
40,-6.365782008183108,-4.021298795798342,-6.575452159031168,-4.543083667405881,-4.26652457937909,-3.1689706049197692,-2.2054932750105967,-2.4000292101689022
41,-4.426683028417171,-3.109273332365853,-3.8545052556900536,-3.2878439777787074,-3.276650337008674,-1.9480761769646942,-1.1232961492996698,-1.1378362605545818
42,-2.558460443230043,-1.5365785040357371,-2.0115434382406407,-1.6837709806407255,-1.5177957583494919,-1.5447710033975102,-1.031038851806363,-1.3937852870435607
43,-1.7365658291370367,-1.3109024649823775,-1.2041493230622096,-1.3115046470605234,-1.2093928142651336,-0.7255013713585572,-0.2708995358760342,-0.4319739473920138
44,-1.3528532236691826,-1.06474142126944,-1.8132774131166216,-1.3312187641066158,-1.1587768097355235,-1.1563155272562056,-0.7061444112899377,-0.6651221265074618
45,-3.628983045249937,-2.702161261781415,-4.310807977426569,-3.256354481647293,-3.5605365300149336,-1.9558205400801218,-1.255480286955848,-1.2041986368655921
46,-0.7396092660191587,-0.5222306384972831,-0.8231206880874627,-0.6607198325741737,-0.7208113748002488,-0.4363202407112245,-0.269036817287913,-0.2434892081901816
47,-0.0028211552083116467,-0.004093295348800059,-0.004113397036482084,-0.0005888718512640844,-0.0012243853300441558,-0.0029090530194620457,-0.0017622334831643677,-0.0018006116806450478
48,-6.542243123915978,-4.212138663325459,-6.46886317608878,-4.576895629707724,-3.2708062520134265,-7.034866728470661,-2.7896181044314288,-6.033509819454048
49,-4.269880046339198,-2.6784523259683883,-3.9442909494666405,-3.338258342473827,-2.3534044389758826,-4.339226028894834,-2.1216756312366165,-4.309950278028981
